#phi	 theta	 comment
0.0000	 0.0000	 backward-outbox
0.0000	 0.0628	 backward-outbox
0.0000	 0.1257	 backward-outbox
0.0000	 0.1885	 backward-outbox
0.0000	 0.2513	 backward-outbox
0.0000	 0.3142	 backward-outbox
0.0000	 0.3770	 backward-outbox
0.0000	 0.4398	 backward-outbox
0.0000	 0.5027	 backward-outbox
0.0000	 0.5655	 backward-outbox
0.0000	 0.6283	 backward-outbox
0.0000	 0.6912	 backward-outbox
0.0000	 0.7540	 backward-outbox
0.0000	 1.8850	 forward-outbox
0.0000	 1.9478	 forward-outbox
0.0000	 2.0106	 forward-outbox
0.0000	 2.0735	 forward-outbox
0.0000	 2.1363	 forward-outbox
0.0000	 2.1991	 forward-outbox
0.0000	 2.2619	 forward-outbox
0.0000	 2.3248	 forward-outbox
0.0000	 2.3876	 forward-outbox
0.0000	 2.4504	 forward-outbox
0.0000	 2.5133	 forward-outbox
0.0000	 2.5761	 forward-outbox
0.0000	 2.6389	 forward-outbox
0.0000	 2.7018	 forward-outbox
0.0000	 2.7646	 forward-outbox
0.0000	 2.8274	 forward-outbox
0.0000	 2.8903	 forward-outbox
0.0000	 2.9531	 forward-outbox
0.0000	 3.0159	 forward-outbox
0.0000	 3.0788	 forward-outbox
0.0628	 0.0000	 backward-outbox
0.0628	 0.0628	 backward-outbox
0.0628	 0.1257	 backward-outbox
0.0628	 0.1885	 backward-outbox
0.0628	 0.2513	 backward-outbox
0.0628	 0.3142	 backward-outbox
0.0628	 0.3770	 backward-outbox
0.0628	 0.4398	 backward-outbox
0.0628	 0.5027	 backward-outbox
0.0628	 0.5655	 backward-outbox
0.0628	 0.6283	 backward-outbox
0.0628	 0.6912	 backward-outbox
0.0628	 0.7540	 backward-outbox
0.0628	 1.8850	 forward-outbox
0.0628	 1.9478	 forward-outbox
0.0628	 2.0106	 forward-outbox
0.0628	 2.0735	 forward-outbox
0.0628	 2.1363	 forward-outbox
0.0628	 2.1991	 forward-outbox
0.0628	 2.2619	 forward-outbox
0.0628	 2.3248	 forward-outbox
0.0628	 2.3876	 forward-outbox
0.0628	 2.4504	 forward-outbox
0.0628	 2.5133	 forward-outbox
0.0628	 2.5761	 forward-outbox
0.0628	 2.6389	 forward-outbox
0.0628	 2.7018	 forward-outbox
0.0628	 2.7646	 forward-outbox
0.0628	 2.8274	 forward-outbox
0.0628	 2.8903	 forward-outbox
0.0628	 2.9531	 forward-outbox
0.0628	 3.0159	 forward-outbox
0.0628	 3.0788	 forward-outbox
0.1257	 0.0000	 backward-outbox
0.1257	 0.0628	 backward-outbox
0.1257	 0.1257	 backward-outbox
0.1257	 0.1885	 backward-outbox
0.1257	 0.2513	 backward-outbox
0.1257	 0.3142	 backward-outbox
0.1257	 0.3770	 backward-outbox
0.1257	 0.4398	 backward-outbox
0.1257	 0.5027	 backward-outbox
0.1257	 0.5655	 backward-outbox
0.1257	 0.6283	 backward-outbox
0.1257	 0.6912	 backward-outbox
0.1257	 0.7540	 backward-outbox
0.1257	 1.8850	 forward-outbox
0.1257	 1.9478	 forward-outbox
0.1257	 2.0106	 forward-outbox
0.1257	 2.0735	 forward-outbox
0.1257	 2.1363	 forward-outbox
0.1257	 2.1991	 forward-outbox
0.1257	 2.2619	 forward-outbox
0.1257	 2.3248	 forward-outbox
0.1257	 2.3876	 forward-outbox
0.1257	 2.4504	 forward-outbox
0.1257	 2.5133	 forward-outbox
0.1257	 2.5761	 forward-outbox
0.1257	 2.6389	 forward-outbox
0.1257	 2.7018	 forward-outbox
0.1257	 2.7646	 forward-outbox
0.1257	 2.8274	 forward-outbox
0.1257	 2.8903	 forward-outbox
0.1257	 2.9531	 forward-outbox
0.1257	 3.0159	 forward-outbox
0.1257	 3.0788	 forward-outbox
0.1885	 0.0000	 backward-outbox
0.1885	 0.0628	 backward-outbox
0.1885	 0.1257	 backward-outbox
0.1885	 0.1885	 backward-outbox
